[2026-09-13 04:37:27]	[EmigProbe] shell attached 
[2026-09-13 04:37:28]	[EmigProbe] shell query complete 
[2026-09-13 04:37:28]	[EmigProbe] shell found AutoSave_01_0005.Civ7Save turn 5 age AGE_EXPLORATION missingMods=0 unowned=0 
[2026-09-13 04:37:28]	[EmigProbe] shell handleLoadSave returned true 
[2026-09-13 04:37:45]	[EmigTest] modtest7 attached 
[2026-09-13 04:37:49]	[EmigTest] TURN activated n=1 turn=5 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:37:59]	[EmigTest] TURN activated n=2 turn=6 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:07]	[EmigTest] TURN activated n=3 turn=7 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:16]	[EmigTest] TURN activated n=4 turn=8 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:24]	[EmigTest] TURN activated n=5 turn=9 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:25]	[EmigTest] AUTOPLAY off; turnActive=true turn=9 autoplayActive=false 
[2026-09-13 04:38:25]	[EmigTest] START turn=9 age=AGE_EXPLORATION L=London turnActive=true enclaveIdx=205 
[2026-09-13 04:38:25]	[EmigTest] D5 def={"type":"IMPROVEMENT_EMIG_ENCLAVE_ROME_B","age":null,"cls":"IMPROVEMENT","unlock":true,"idx":205} farmDef={"age":null,"idx":4} 
[2026-09-13 04:38:25]	[EmigTest] D1 London emptyPlots=[{"plot":3161,"loc":{"x":89,"y":32},"d":3,"terrain":"TERRAIN_HILL","feature":-1,"river":true,"owner":0}] 
[2026-09-13 04:38:25]	[EmigTest] D1 canStart district={"Success":true,"keys":["Success"]} 
[2026-09-13 04:38:30]	[EmigTest] D1 after district request: districtAt=DISTRICT_RURAL plot=["IMPROVEMENT_MINE"] 
[2026-09-13 04:38:30]	[EmigTest] D2a canStart enclave={"Success":true,"keys":["Success"]} 
[2026-09-13 04:38:35]	[EmigTest] D2a after enclave request: plot=["IMPROVEMENT_MINE"] enclaveAt=null 
[2026-09-13 04:38:35]	[EmigTest] D2b tile=IMPROVEMENT_MINE plot=2874 canStart destroy={"Success":true,"keys":["Success"]} 
[2026-09-13 04:38:36]	[EmigTest] TURN activated n=6 turn=10 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:39]	[EmigTest] D2b after destroy: plot=[] districtAt=DISTRICT_RURAL 
[2026-09-13 04:38:39]	[EmigTest] D2b canStart enclave={"Success":true,"keys":["Success"]} 
[2026-09-13 04:38:43]	[EmigTest] TURN activated n=7 turn=11 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:44]	[EmigTest] D2b after enclave request: plot=[] 
[2026-09-13 04:38:44]	[EmigTest] D3 Paris tile=IMPROVEMENT_MINE canStart destroy={"Success":true,"keys":["Success"]} canStart enclave={"Success":true,"keys":["Success"]} 
[2026-09-13 04:38:50]	[EmigTest] D3 placeEnclave={"type":"IMPROVEMENT_EMIG_ENCLAVE_GREECE_A","plot":4689,"replaced":"IMPROVEMENT_MINE"} plotNow=["IMPROVEMENT_EMIG_ENCLAVE_GREECE_A"] 
[2026-09-13 04:38:50]	[EmigTest] ACTIONS done; ending the turn 
[2026-09-13 04:38:56]	[EmigTest] TURN activated n=8 turn=12 age=AGE_EXPLORATION ALIVE 
[2026-09-13 04:38:59]	[EmigTest] DONE modtest7 finished 
