[2026-09-18 06:31:45]	[EmigProbe] shell attached 
[2026-09-18 06:31:46]	[EmigProbe] shell query complete 
[2026-09-18 06:31:46]	[EmigProbe] shell found AutoSave_00_0099.Civ7Save turn 99 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-18 06:31:47]	[EmigProbe] shell handleLoadSave returned true 
[2026-09-18 06:32:04]	[EmigTest] modtest139 attached 
[2026-09-18 06:32:24]	[EmigTest] INF before=147.90234375 cut=117 after=30.90234375 
[2026-09-18 06:32:26]	[EmigTest] 0-first title="Call our people home" divider={"block":true,"divider":true,"w":230,"h":43,"display":"block","opacity":"1","visibility":"visible","bg":"url(fs://game/hud_sidepanel_divider.png)","cls":"filigree-divider-h3 self-center"} 
[2026-09-18 06:32:26]	[EmigTest] SHOT 0-first 
[2026-09-18 06:32:35]	[EmigTest] S0 turn=99 local=0 civ=Great Britain age=AGE_ANTIQUITY ageScale=1 exploration=3 modern=9 goldFor1=60 
[2026-09-18 06:32:35]	[EmigTest] 1-internal real available=11 points=3 cooldownLeft=0 gold=254.671875 influence=30.90234375 (LIVE flows) 
[2026-09-18 06:32:35]	[EmigTest] 1-internal view eyebrow="From our own settlements" title="Call our people home" details=["7 from Liverpool back to London","2 from Liverpool back to Leeds","2 from Leeds back to Liverpool"] choices=["0:1 | Bring one home for [icon:YIELD_GOLD] 60","0:2 | Bring 2 home for [icon:YIELD_GOLD] 170","0:3 | Bring 3 home for [icon:YIELD_GOLD] 312","1:1 | Bring one home for [icon:YIELD_DIPLOMACY] 12","1:2 | Bring 2 home for [icon:YIELD_DIPLOMACY] 34","1:3 | Bring 3 home for [icon:YIELD_DIPLOMACY] 62","no | Leave them where they are"] 
[2026-09-18 06:32:35]	[EmigTest] 1-internal clearing a queued dialog titled "Call our people home" 
[2026-09-18 06:32:37]	[EmigTest] 1-internal cleared queue=true 
[2026-09-18 06:32:38]	[EmigTest] 1-internal dialog appeared=true title="Call our people home" 
[2026-09-18 06:32:40]	[EmigTest] 1-internal buttons(150ms+)=[{"caption":"Bring one home for [icon:YIELD_GOLD] 60","text":"Bring one home for  60","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 2 home for [icon:YIELD_GOLD] 170","text":"Bring 2 home for  170","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 3 home for [icon:YIELD_GOLD] 312","text":"Bring 3 home for  312","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Bring one home for [icon:YIELD_DIPLOMACY] 12","text":"Bring one home for  12","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 2 home for [icon:YIELD_DIPLOMACY] 34","text":"Bring 2 home for  34","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Bring 3 home for [icon:YIELD_DIPLOMACY] 62","text":"Bring 3 home for  62","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Leave them where they are","text":"Leave them where they a
[2026-09-18 06:32:40]	[EmigTest] 1-internal divider(early)={"block":true,"divider":true,"w":230,"h":43,"display":"block","opacity":"1","visibility":"visible","bg":"url(fs://game/hud_sidepanel_divider.png)","cls":"filigree-divider-h3 self-center"} 
[2026-09-18 06:32:40]	[EmigTest] SHOT 1-internal 
[2026-09-18 06:32:50]	[EmigTest] 1-internal buttons(late)=[{"caption":"Bring one home for [icon:YIELD_GOLD] 60","text":"Bring one home for  60","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 2 home for [icon:YIELD_GOLD] 170","text":"Bring 2 home for  170","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 3 home for [icon:YIELD_GOLD] 312","text":"Bring 3 home for  312","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Bring one home for [icon:YIELD_DIPLOMACY] 12","text":"Bring one home for  12","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Bring 2 home for [icon:YIELD_DIPLOMACY] 34","text":"Bring 2 home for  34","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Bring 3 home for [icon:YIELD_DIPLOMACY] 62","text":"Bring 3 home for  62","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Leave them where they are","text":"Leave them where they are
[2026-09-18 06:32:51]	[EmigTest] 1-internal clicked greyed "Bring 3 home for [icon:YIELD_GOLD] 312": resolved=null dialogStillUp=false (expect resolved=null, still up) 
[2026-09-18 06:32:51]	[EmigTest] 1-internal body="FROM OUR OWN SETTLEMENTS 11 population points were driven out of their homes and now livein other settlements of ours. They are inside our borders andunder our own rule, so every one we call will come. Choose howmany to bring home. 7 from Liverpool back to London2 from Liverpool back to Leeds2 from Leeds back to Liverpool" 
[2026-09-18 06:32:51]	[EmigTest] 1-internal dismissed via last button: gone=true chosen=null (expect "no": nothing bought) 
[2026-09-18 06:32:53]	[EmigTest] 2-external real available=0 points=0 cooldownLeft=0 gold=254.671875 influence=30.90234375 (FIXTURE [{"src":0,"dest":1,"srcCity":"London","destCity":"Madrid","points":3,"byCause":{"war":300}}]) 
[2026-09-18 06:32:53]	[EmigTest] 2-external view eyebrow="From foreign cities" title="Call our people back from abroad" details=["3 from Madrid (Spain) back to London"] choices=["0:1 | Call one home for [icon:YIELD_GOLD] 90","0:2 | Call 2 home for [icon:YIELD_GOLD] 255","0:3 | Call 3 home for [icon:YIELD_GOLD] 468","1:1 | Call one home for [icon:YIELD_DIPLOMACY] 18","1:2 | Call 2 home for [icon:YIELD_DIPLOMACY] 51","1:3 | Call 3 home for [icon:YIELD_DIPLOMACY] 94","no | Leave them where they are"] 
[2026-09-18 06:32:53]	[EmigTest] 2-external cleared queue=true 
[2026-09-18 06:32:54]	[EmigTest] 2-external dialog appeared=true title="Call our people back from abroad" 
[2026-09-18 06:32:55]	[EmigTest] 2-external buttons(150ms+)=[{"caption":"Call one home for [icon:YIELD_GOLD] 90","text":"Call one home for  90","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Call 2 home for [icon:YIELD_GOLD] 255","text":"Call 2 home for  255","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call 3 home for [icon:YIELD_GOLD] 468","text":"Call 3 home for  468","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call one home for [icon:YIELD_DIPLOMACY] 18","text":"Call one home for  18","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Call 2 home for [icon:YIELD_DIPLOMACY] 51","text":"Call 2 home for  51","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call 3 home for [icon:YIELD_DIPLOMACY] 94","text":"Call 3 home for  94","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Leave them where they are","text":"Leave them where they are","img":fals
[2026-09-18 06:32:55]	[EmigTest] 2-external divider(early)={"block":true,"divider":true,"w":230,"h":43,"display":"block","opacity":"1","visibility":"visible","bg":"url(fs://game/hud_sidepanel_divider.png)","cls":"filigree-divider-h3 self-center"} 
[2026-09-18 06:32:55]	[EmigTest] SHOT 2-external 
[2026-09-18 06:33:05]	[EmigTest] 2-external buttons(late)=[{"caption":"Call one home for [icon:YIELD_GOLD] 90","text":"Call one home for  90","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Call 2 home for [icon:YIELD_GOLD] 255","text":"Call 2 home for  255","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call 3 home for [icon:YIELD_GOLD] 468","text":"Call 3 home for  468","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call one home for [icon:YIELD_DIPLOMACY] 18","text":"Call one home for  18","img":true,"literal":false,"disabled":false,"greyClass":false},{"caption":"Call 2 home for [icon:YIELD_DIPLOMACY] 51","text":"Call 2 home for  51","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Call 3 home for [icon:YIELD_DIPLOMACY] 94","text":"Call 3 home for  94","img":true,"literal":false,"disabled":true,"greyClass":true},{"caption":"Leave them where they are","text":"Leave them where they are","img":false,
[2026-09-18 06:33:07]	[EmigTest] 2-external clicked greyed "Call 2 home for [icon:YIELD_GOLD] 255": resolved=null dialogStillUp=false (expect resolved=null, still up) 
[2026-09-18 06:33:07]	[EmigTest] 2-external body="FROM FOREIGN CITIES 3 population points were driven out of London and now live inMadrid, a city of Spain. They have a life there, and a foreignruler has no reason to help us empty their streets. Choose howmany to call: each has about a 18% chance of answering, the callmay bring nobody, and it is paid for either way. 3 from Madrid (Spain) back to London" 
[2026-09-18 06:33:07]	[EmigTest] 2-external dismissed via last button: gone=true chosen=null (expect "no": nothing bought) 
[2026-09-18 06:33:09]	[EmigTest] 3-real-internal offerCallHome opened=true 
[2026-09-18 06:33:15]	[EmigTest] 3-real-internal clicked greyed "Bring 2 home for [icon:YIELD_DIPLOMACY] 34" influence 30.90234375 -> 30.90234375 gold 254.671875 -> 254.671875 cooldownLeft=0 citiesUnchanged=true 
[2026-09-18 06:33:15]	[EmigTest] 3-real-internal cities before=London:20/0 Liverpool:10/1 Leeds:6/0 
[2026-09-18 06:33:15]	[EmigTest] 3-real-internal cities after =London:20/0 Liverpool:10/1 Leeds:6/0 
[2026-09-18 06:33:15]	[EmigTest] 3-real-internal VERDICT nothingBought=true 
[2026-09-18 06:33:15]	[EmigTest] SEED external flow: 3 points of war refugees from London into Madrid (player 1) quote now=3 
[2026-09-18 06:33:15]	[EmigTest] 4-real-external offerCallHome opened=true 
[2026-09-18 06:33:21]	[EmigTest] 4-real-external clicked greyed "Call 2 home for [icon:YIELD_DIPLOMACY] 51" influence 30.90234375 -> 30.90234375 gold 254.671875 -> 254.671875 cooldownLeft=0 citiesUnchanged=true 
[2026-09-18 06:33:21]	[EmigTest] 4-real-external cities before=London:20/0 Liverpool:10/1 Leeds:6/0 
[2026-09-18 06:33:21]	[EmigTest] 4-real-external cities after =London:20/0 Liverpool:10/1 Leeds:6/0 
[2026-09-18 06:33:21]	[EmigTest] 4-real-external VERDICT nothingBought=true 
[2026-09-18 06:33:21]	[EmigTest] DONE modtest139 finished 
