[2026-09-15 21:31:30]	[EmigProbe] shell attached 
[2026-09-15 21:31:31]	[EmigProbe] shell query complete 
[2026-09-15 21:31:32]	[EmigProbe] shell found AugustusExp66.Civ7Save turn 66 age AGE_EXPLORATION missingMods=0 unowned=0 
[2026-09-15 21:31:32]	[EmigProbe] shell handleLoadSave returned true 
[2026-09-15 21:31:50]	[EmigTest] modtest93 attached control=false 
[2026-09-15 21:32:05]	[EmigTest] SLIDER poach=12 escape=14 drain=0 internal=0 
[2026-09-15 21:32:05]	[EmigTest] START control=false {"turn":66,"world":1056,"settlements":76,"topShare":41.2,"minPop":4,"minCity":"Jenne","negGold":0,"resettling":0,"enclaves":0,"candidacies":0,"counters":{"passes":0,"zeroMovePasses":0,"voluntaryMoves":0,"crisisMoves":0,"crisisInternal":0,"crisisCrossCiv":0,"crossCivMoves":0,"returnMoves":0,"attritionTrapped":0,"attritionFleeing":0,"transitRazed":0,"transitCapped":0,"arrivedIntoCrisis":0,"refugeesQueued":0,"refugeesSettled":0},"civs":{"0":{"pop":435,"settlements":29,"gold":804,"resettling":0},"2":{"pop":85,"settlements":6,"gold":362,"resettling":0},"4":{"pop":141,"settlements":8,"gold":500,"resettling":0},"6":{"pop":100,"settlements":8,"gold":2656,"resettling":0},"7":{"pop":91,"settlements":10,"gold":849,"resettling":0},"8":{"pop":119,"settlements":8,"gold":119,"resettling":0},"9":{"pop":85,"settlements":7,"gold":1763,"resettling":0}},"cfg":{"poachBlock":12,"crisisEscapeBonus":14,"antiDrainWeight":0,"internalBonus":0,"askRefugees":true,"askMigrants":false}
[2026-09-15 21:36:21]	[EmigTest] T n=10 fallbacks=10 {"turn":76,"world":1079,"settlements":77,"topShare":41,"minPop":2,"minCity":"Tarnovo","negGold":0,"resettling":7,"enclaves":0,"candidacies":1,"counters":{"passes":10,"zeroMovePasses":0,"voluntaryMoves":37,"crisisMoves":30,"crisisInternal":0,"crisisCrossCiv":30,"crossCivMoves":38,"returnMoves":0,"attritionTrapped":0,"attritionFleeing":0,"transitRazed":0,"transitCapped":0,"arrivedIntoCrisis":0,"refugeesQueued":18,"refugeesSettled":11},"civs":{"0":{"pop":442,"settlements":29,"gold":6567,"resettling":0},"2":{"pop":72,"settlements":6,"gold":81,"resettling":0},"4":{"pop":147,"settlements":9,"gold":551,"resettling":0},"6":{"pop":103,"settlements":8,"gold":4419,"resettling":0},"7":{"pop":118,"settlements":10,"gold":999,"resettling":7},"8":{"pop":115,"settlements":8,"gold":12,"resettling":0},"9":{"pop":82,"settlements":7,"gold":1137,"resettling":0}},"cfg":{"poachBlock":12,"crisisEscapeBonus":14,"antiDrainWeight":0,"internalBonus":0,"askRefugees":true,"askMigrants"
[2026-09-15 21:40:52]	[EmigTest] T n=20 fallbacks=20 {"turn":86,"world":1114,"settlements":78,"topShare":40.5,"minPop":2,"minCity":"Ohrid","negGold":0,"resettling":4,"enclaves":1,"candidacies":0,"counters":{"passes":20,"zeroMovePasses":0,"voluntaryMoves":49,"crisisMoves":41,"crisisInternal":0,"crisisCrossCiv":41,"crossCivMoves":50,"returnMoves":0,"attritionTrapped":0,"attritionFleeing":0,"transitRazed":0,"transitCapped":0,"arrivedIntoCrisis":0,"refugeesQueued":30,"refugeesSettled":26},"civs":{"0":{"pop":451,"settlements":29,"gold":12777,"resettling":0},"2":{"pop":77,"settlements":7,"gold":561,"resettling":1},"4":{"pop":147,"settlements":9,"gold":1183,"resettling":0},"6":{"pop":112,"settlements":8,"gold":2946,"resettling":0},"7":{"pop":130,"settlements":10,"gold":1014,"resettling":3},"8":{"pop":112,"settlements":8,"gold":90,"resettling":0},"9":{"pop":85,"settlements":7,"gold":280,"resettling":0}},"cfg":{"poachBlock":12,"crisisEscapeBonus":14,"antiDrainWeight":0,"internalBonus":0,"askRefugees":true,"askMigran
[2026-09-15 21:45:03]	[EmigTest] T n=30 fallbacks=30 {"turn":96,"world":1153,"settlements":80,"topShare":39.7,"minPop":2,"minCity":"Kaem","negGold":0,"resettling":2,"enclaves":1,"candidacies":0,"counters":{"passes":30,"zeroMovePasses":0,"voluntaryMoves":70,"crisisMoves":53,"crisisInternal":0,"crisisCrossCiv":53,"crossCivMoves":63,"returnMoves":0,"attritionTrapped":0,"attritionFleeing":0,"transitRazed":0,"transitCapped":0,"arrivedIntoCrisis":1,"refugeesQueued":37,"refugeesSettled":34},"civs":{"0":{"pop":458,"settlements":29,"gold":21928,"resettling":0},"2":{"pop":80,"settlements":7,"gold":636,"resettling":1},"4":{"pop":151,"settlements":10,"gold":31,"resettling":1},"6":{"pop":121,"settlements":8,"gold":1704,"resettling":0},"7":{"pop":137,"settlements":10,"gold":1032,"resettling":0},"8":{"pop":116,"settlements":9,"gold":116,"resettling":0},"9":{"pop":90,"settlements":7,"gold":196,"resettling":0}},"cfg":{"poachBlock":12,"crisisEscapeBonus":14,"antiDrainWeight":0,"internalBonus":0,"askRefugees":true,"askMigrant
[2026-09-15 21:45:03]	[EmigTest] FINAL (turns) {"turn":96,"world":1153,"settlements":80,"topShare":39.7,"minPop":2,"minCity":"Kaem","negGold":0,"resettling":2,"enclaves":1,"candidacies":0,"counters":{"passes":30,"zeroMovePasses":0,"voluntaryMoves":70,"crisisMoves":53,"crisisInternal":0,"crisisCrossCiv":53,"crossCivMoves":63,"returnMoves":0,"attritionTrapped":0,"attritionFleeing":0,"transitRazed":0,"transitCapped":0,"arrivedIntoCrisis":1,"refugeesQueued":37,"refugeesSettled":34},"civs":{"0":{"pop":458,"settlements":29,"gold":21928,"resettling":0},"2":{"pop":80,"settlements":7,"gold":636,"resettling":1},"4":{"pop":151,"settlements":10,"gold":31,"resettling":1},"6":{"pop":121,"settlements":8,"gold":1704,"resettling":0},"7":{"pop":137,"settlements":10,"gold":1032,"resettling":0},"8":{"pop":116,"settlements":9,"gold":116,"resettling":0},"9":{"pop":90,"settlements":7,"gold":196,"resettling":0}},"cfg":{"poachBlock":18,"crisisEscapeBonus":7,"antiDrainWeight":12,"internalBonus":12,"askRefugees":true,"askMigrants":fa
