[2026-09-17 16:42:45]	[EmigProbe] shell attached 
[2026-09-17 16:42:46]	[EmigProbe] shell query complete 
[2026-09-17 16:42:47]	[EmigProbe] shell found AugustusExp66.Civ7Save turn 66 age AGE_EXPLORATION missingMods=0 unowned=0 
[2026-09-17 16:42:47]	[EmigProbe] shell handleLoadSave returned true 
[2026-09-17 16:43:05]	[EmigTest] modtest128 attached 
[2026-09-17 16:43:22]	[EmigTest] S0 turn=66 host=Lāhainā pop=29 originA=4(Paris) originB=8(Pataliputra) shareBar=0.3 stockBar=4.60 minStock=3 
[2026-09-17 16:43:22]	[EmigTest] S0 records=0 candidacies=0 comp(Lāhainā)=["0:29/100%"] 
[2026-09-17 16:43:22]	[EmigTest] S0 progress=null 
[2026-09-17 16:43:29]	[EmigTest] S1 records=1 candidacies=1 comp(Lāhainā)=["0:24.2/83%","4:4.8/17%"] 
[2026-09-17 16:43:29]	[EmigTest] S1   86,20 origin=4 stance=ignore contested=false placed={"type":"IMPROVEMENT_HIDDEN_FORTRESS","plot":1812,"enclave":"IMPROVEMENT_EMIG_ENCLAVE_NORMAN_A"} standing=true plot=["IMPROVEMENT_HIDDEN_FORTRESS"] 
[2026-09-17 16:43:29]	[EmigTest] S1 progress={"civ":4,"share":0.166,"bar":0.3,"stock":4.8,"stockBar":4.6,"stage":"established"} 
[2026-09-17 16:43:29]	[EmigTest] S1 verdict formed=true (expect false: below the bar) 
[2026-09-17 16:43:33]	[EmigTest] SHOT 1-foothold 
[2026-09-17 16:43:49]	[EmigTest] S2 records=1 candidacies=1 comp(Lāhainā)=["0:15.9/53%","4:14.1/47%"] 
[2026-09-17 16:43:49]	[EmigTest] S2   86,20 origin=4 stance=ignore contested=false placed={"type":"IMPROVEMENT_HIDDEN_FORTRESS","plot":1812,"enclave":"IMPROVEMENT_EMIG_ENCLAVE_NORMAN_A"} standing=true plot=["IMPROVEMENT_HIDDEN_FORTRESS"] 
[2026-09-17 16:43:49]	[EmigTest] S2 progress={"civ":4,"share":0.471,"bar":0.3,"stock":14.1,"stockBar":4.6,"stage":"established"} 
[2026-09-17 16:43:49]	[EmigTest] S2 verdict formed=true tilePlaced=true stance=ignore takesRoot=["The Norman Enclave of Lāhainā"] 
[2026-09-17 16:43:52]	[EmigTest] SHOT 2-established-tile 
[2026-09-17 16:44:04]	[EmigTest] S3 same-turn pass raised a modal=false (expect false: dwell 2 turns) 
[2026-09-17 16:44:33]	[EmigTest] TURN activated n=2 turn=67 
[2026-09-17 16:44:42]	[EmigTest] S3 turn+1 records=1 candidacies=1 comp(Lāhainā)=["0:16/53%","4:14/47%"] 
[2026-09-17 16:44:42]	[EmigTest] S3 turn+1   86,20 origin=4 stance=ignore contested=false placed={"type":"IMPROVEMENT_HIDDEN_FORTRESS","plot":1812,"enclave":"IMPROVEMENT_EMIG_ENCLAVE_NORMAN_A","stood":true} standing=true plot=["IMPROVEMENT_HIDDEN_FORTRESS"] 
[2026-09-17 16:44:42]	[EmigTest] S3 turn+1 progress={"civ":4,"share":0.467,"bar":0.3,"stock":14,"stockBar":4.6,"stage":"established"} 
[2026-09-17 16:45:07]	[EmigTest] TURN activated n=3 turn=68 
[2026-09-17 16:45:16]	[EmigTest] S3 turn+2 records=1 candidacies=0 comp(Lāhainā)=["0:16.1/54%","4:13.9/46%"] 
[2026-09-17 16:45:16]	[EmigTest] S3 turn+2   86,20 origin=4 stance=a contested=false placed={"type":"IMPROVEMENT_HIDDEN_FORTRESS","plot":1812,"stood":true,"enclave":"IMPROVEMENT_EMIG_ENCLAVE_NORMAN_A"} standing=true plot=["IMPROVEMENT_HIDDEN_FORTRESS"] 
[2026-09-17 16:45:16]	[EmigTest] S3 turn+2 progress={"civ":4,"share":0.464,"bar":0.3,"stock":13.9,"stockBar":4.6,"stage":"established"} 
[2026-09-17 16:45:25]	[EmigTest] S4 modal appeared=false title=null 
[2026-09-17 16:45:25]	[EmigTest] S4 records=1 candidacies=1 comp(Lāhainā)=["0:16.1/54%","4:13.9/46%"] 
